2023-03-14 14:02:55 configure libdebconfclient0:amd64 0.267ubuntu1 <none>
2023-03-14 14:02:55 status unpacked libdebconfclient0:amd64 0.267ubuntu1
2023-03-14 14:02:55 status half-configured libdebconfclient0:amd64 0.267ubuntu1
2023-03-14 14:02:55 status installed libdebconfclient0:amd64 0.267ubuntu1
2023-03-14 14:02:55 configure base-files:amd64 12.3ubuntu1 <none>
2023-03-14 14:02:55 status unpacked base-files:amd64 12.3ubuntu1
2023-03-14 14:02:55 status half-configured base-files:amd64 12.3ubuntu1
2023-03-14 14:02:55 status installed base-files:amd64 12.3ubuntu1
2023-03-14 14:02:55 configure libbz2-1.0:amd64 1.0.8-5build1 <none>
2023-03-14 14:02:55 status unpacked libbz2-1.0:amd64 1.0.8-5build1
2023-03-14 14:02:55 status half-configured libbz2-1.0:amd64 1.0.8-5build1
2023-03-14 14:02:55 status installed libbz2-1.0:amd64 1.0.8-5build1
2023-03-14 14:02:55 configure libdb5.3:amd64 5.3.28+dfsg2-1 <none>
2023-03-14 14:02:55 status unpacked libdb5.3:amd64 5.3.28+dfsg2-1
2023-03-14 14:02:55 status half-configured libdb5.3:amd64 5.3.28+dfsg2-1
